obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
268,353,"(9, 11)",14.566666666666666,16.5,1.9333333333333336,moderate
268,353,"(9, 11)",14.566666666666666,16.566666666666666,2.0,moderate
133,53,"(7, 12)",10.033333333333333,11.6,1.5666666666666664,moderate
133,53,"(5, 13)",10.3,11.933333333333334,1.6333333333333329,moderate
133,53,"(2, 14)",10.766666666666667,12.533333333333333,1.7666666666666657,moderate
62,144,"(15, 14)",1.9666666666666666,3.2,1.2333333333333336,critical
62,144,"(15, 14)",2.7333333333333334,3.2,0.4666666666666668,critical
62,144,"(15, 14)",2.8666666666666667,3.2,0.3333333333333335,critical
326,502,"(15, 14)",13.133333333333333,15.1,1.9666666666666668,moderate
326,502,"(15, 14)",13.433333333333334,15.1,1.666666666666666,moderate
326,502,"(15, 14)",13.433333333333334,15.233333333333333,1.799999999999999,moderate
502,1182,"(15, 14)",32.333333333333336,33.2,0.8666666666666671,critical
502,1182,"(15, 14)",32.333333333333336,33.3,0.9666666666666615,critical
502,1182,"(15, 14)",32.333333333333336,33.36666666666667,1.0333333333333314,critical
502,1182,"(15, 14)",32.333333333333336,33.6,1.2666666666666657,critical
502,1182,"(15, 14)",32.333333333333336,33.666666666666664,1.3333333333333286,critical
502,1182,"(15, 14)",32.333333333333336,34.06666666666667,1.7333333333333343,moderate
1182,1335,"(15, 14)",38.06666666666667,38.4,0.3333333333333286,critical
1182,1373,"(15, 14)",38.06666666666667,40.06666666666667,2.0,moderate
1315,1182,"(15, 14)",37.8,38.2,0.4000000000000057,critical
1315,1335,"(15, 14)",37.8,38.4,0.6000000000000014,critical
1182,1373,"(15, 14)",38.5,40.06666666666667,1.56666666666667,moderate
1335,1373,"(15, 14)",38.4,40.06666666666667,1.6666666666666714,moderate
1373,1578,"(15, 14)",46.266666666666666,47.833333333333336,1.56666666666667,moderate
1373,1578,"(15, 14)",46.266666666666666,47.9,1.6333333333333329,moderate
1373,1578,"(15, 14)",46.5,47.833333333333336,1.3333333333333357,critical
1373,1578,"(15, 14)",46.5,47.9,1.3999999999999986,critical
1373,1578,"(15, 14)",46.666666666666664,47.833333333333336,1.1666666666666714,critical
1373,1578,"(15, 14)",46.666666666666664,47.9,1.2333333333333343,critical
1373,1578,"(15, 14)",46.93333333333333,47.833333333333336,0.9000000000000057,critical
1373,1578,"(15, 14)",46.93333333333333,47.9,0.9666666666666686,critical
1373,1609,"(15, 14)",46.93333333333333,48.833333333333336,1.9000000000000057,moderate
1373,1609,"(15, 14)",46.93333333333333,48.9,1.9666666666666686,moderate
1373,1578,"(15, 14)",47.166666666666664,47.833333333333336,0.6666666666666714,critical
1373,1578,"(15, 14)",47.166666666666664,47.9,0.7333333333333343,critical
1373,1609,"(15, 14)",47.166666666666664,48.833333333333336,1.6666666666666714,moderate
1373,1609,"(15, 14)",47.166666666666664,48.9,1.7333333333333343,moderate
1373,1578,"(15, 14)",47.333333333333336,47.833333333333336,0.5,critical
1373,1578,"(15, 14)",47.333333333333336,47.9,0.5666666666666629,critical
1373,1609,"(15, 14)",47.333333333333336,48.833333333333336,1.5,moderate
1373,1609,"(15, 14)",47.333333333333336,48.9,1.5666666666666629,moderate
1373,1578,"(15, 14)",47.833333333333336,47.9,0.06666666666666288,critical
