idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
93,63000,49000,0.3998996189439303,37,52.25581380869824,79.6932095622704,36.16476367974812,13.1796979202892,18,13.209538747093696,54,53,9.11916501606015,11.87834727198086,0.0,0.0098342538917963,1.3085574175815946,10.0,Y,0
94,59002,49002,0.1666248412266376,91,149.93024039871435,,84.18317940516648,,24,58.29192136226902,19,13,29.113369819324472,51.38177238171883,0.0909090909090909,,,,N,1
95,60000,49002,1.4662986027944112,91,40.89427318091754,,10.270632077672188,,20,59.30343763463081,278,13,29.113369819324472,51.38177238171883,0.0909090909090909,0.0047242182389217,,,N,1
96,59002,49003,1.532948539285066,132,,,,,41,58.29192136226902,19,124,20.40804616649096,50.7151463231134,0.0666666666666666,,,,N,1
97,99000,51000,1.8661982217383413,279,,,,8.732639180640493,41,38.342258293537306,9,267,5.190148480726707,9.785151613261489,0.0076045627376425,0.0150876217737336,,,N,1
98,54001,115000,0.7997992378878606,233,,,,,41,5.019725230310386,7,4,4.993439708724411,5.014468125993191,0.0,,,,N,1
99,57000,67000,0.9664240791144982,100,36.72732920918631,,57.07961954632157,6.9115352860123975,10,36.75215359206359,96,221,4.841202970465041,18.85200367471024,0.0091324200913242,-0.0016105531383125,0.6208871230176131,14.0,Y,0
100,63000,59002,1.399648666303756,67,144.87996925741766,127.15185990294307,20.182739935453377,62.92763537068892,10,58.29192136226902,54,19,20.40804616649096,50.7151463231134,0.0666666666666666,-0.0063643264838916,0.5095917758282508,34.0,N,1
101,63000,60000,0.3998996189439303,37,52.24559252081144,79.67976617621406,36.16476367974812,22.42687209082097,18,59.30343763463081,54,278,3.8535121363235207,37.66406653552698,0.0180505415162454,0.3028678078777708,1.3092745630620155,11.0,Y,0
102,60000,92003,0.0333249682453275,176,11.12255272263834,15.172321988996655,86.42485405118639,23.636545491717037,9,62.80712911056902,278,87,3.454954756348385,37.66406653552698,0.0180505415162454,0.0086726165105323,0.8804229180278967,0.0,Y,0
103,95000,60000,1.6662484122663763,178,131.81046702765508,105.98967262457768,8.100127097392704,74.4593897851752,3,59.30343763463081,188,278,3.725109924664993,37.66406653552698,0.0180505415162454,0.0091493258533222,2.5489524456170263,0.0,N,1
104,71001,80002,0.1999498094719651,118,176.2126228409335,,17.520474461491805,62.53232322776446,20,12.76006110874489,131,12,5.068173232916904,9.776225679349077,0.0,0.0003825467951266,0.5997360591172155,0.0,Y,0
105,76000,73001,1.0663989838504808,85,15.751507817612897,18.169376037637505,16.007957881817994,12.770133359174585,0,11.60373339696871,250,261,4.320821111269852,7.903464813970213,0.0,-0.0017725424763158,1.7280883778200284,0.0,N,1
106,77001,117000,0.2999247142079477,240,64.30282486532951,,87.39516858510156,40.408441143760825,20,44.2922656881488,35,27,28.428559187673475,35.74505282138167,0.0769230769230769,,1.1376698879577691,0.0,Y,0
107,79000,95000,1.0663989838504808,110,6.948068691684881,,10.318957399431552,30.009090934293656,20,41.81458929164619,273,188,3.725109924664993,4.801834866536148,0.0053475935828877,0.0002639156813547,1.476679292126975,0.0,N,1
108,92001,81000,0.9997490473598256,121,,,,16.21750175389884,41,51.086619843397095,3,142,48.69781076597389,50.60885802791245,0.5,0.0124856068424746,,,N,1
109,92003,81000,0.2665997459626202,193,68.22096765845805,96.01890409564088,31.86457524421273,12.197838511810255,26,62.80712911056902,87,142,2.9727694080671494,21.262707386024204,0.0116279069767441,0.0094874966643982,3.4552903461457896,0.0,Y,0
110,94000,81000,1.0663989838504808,151,157.5614145355214,,11.002647577534148,6.259207346006469,10,40.05520401331733,65,142,9.722288817854722,39.99598787342502,0.0526315789473684,0.0058804422263756,0.9325533692441936,15.0,N,1
111,94000,92003,0.3998996189439303,131,95.56104391634612,71.60860435581853,49.102314919562055,9.667458010630757,6,62.80712911056902,65,87,9.722288817854722,39.99598787342502,0.0526315789473684,0.7780196411332143,0.7375153856253015,14.0,Y,0
112,97000,92003,0.7331493013972056,187,111.1985895709794,81.36005032663456,9.620482439795524,27.36641399634602,20,62.80712911056902,168,87,2.644037099573315,21.262707386024204,0.0116279069767441,-0.0007887884687882,1.3336796226893703,4.0,N,1
113,102000,103000,0.066649936490655,206,4.653113342046794,5.922905119650125,11.448701635208666,21.90109288410041,3,8.486377083829344,126,109,3.648311651214048,4.977367853512371,0.0,-0.0015589780606402,0.8832613924027719,0.0,Y,0
