event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
1054,CELL_J_5,85,107,1.5995984757757211,2.4327226819089094,0.8331242061331883
1055,CELL_J_5,85,107,1.5995984757757211,2.5660225548902194,0.9664240791144982
1056,CELL_J_5,85,114,1.5995984757757211,2.4327226819089094,0.8331242061331883
1057,CELL_J_5,85,114,1.5995984757757211,2.5660225548902194,0.9664240791144982
1058,CELL_J_5,85,114,1.5995984757757211,2.7659723643621845,1.1663738885864634
1059,CELL_J_5,87,21,1.9994980947196515,2.2660978406822716,0.26659974596262015
1060,CELL_J_5,87,58,1.9994980947196515,2.4327226819089094,0.43322458718925794
1061,CELL_J_5,87,58,1.9994980947196515,2.7659723643621845,0.7664742696425331
1062,CELL_J_5,87,87,1.9994980947196515,2.0661480312103064,0.06664993649065498
1063,CELL_J_5,87,107,1.9994980947196515,2.4327226819089094,0.43322458718925794
1064,CELL_J_5,87,107,1.9994980947196515,2.5660225548902194,0.5665244601705679
1065,CELL_J_5,87,114,1.9994980947196515,2.4327226819089094,0.43322458718925794
